Lat, Lng, Date, t (s), Pressure (mBar), Temperature (°C), Relative Humidity (%), Light Intensity (Lux)
-180.00000, -180.00000, 02/01/2023 20:58:47.316, 0.000, 1016.360840, 20.200001, 23.392811, 0.000000
-180.00000, -180.00000, 02/01/2023 20:58:48.316, 1.000, 1016.378845, 20.190001, 23.392941, 0.000000
-180.00000, -180.00000, 02/01/2023 20:58:49.316, 2.000, 1016.387329, 20.180000, 23.393267, 0.000000
-180.00000, -180.00000, 02/01/2023 20:58:50.316, 3.000, 1016.373474, 20.170000, 23.393526, 0.000000
-180.00000, -180.00000, 02/01/2023 20:58:51.316, 4.000, 1016.382874, 20.160000, 23.393785, 0.000000
-180.00000, -180.00000, 02/01/2023 20:58:52.316, 5.000, 1016.361511, 20.150000, 23.394112, 0.000000
-180.00000, -180.00000, 02/01/2023 20:58:53.316, 6.000, 1016.383850, 20.139999, 23.394300, 0.000000
-180.00000, -180.00000, 02/01/2023 20:58:54.316, 7.000, 1016.376648, 20.129999, 23.394562, 0.000000
-180.00000, -180.00000, 02/01/2023 20:58:55.316, 8.000, 1016.390808, 20.120001, 23.394951, 0.000000
-180.00000, -180.00000, 02/01/2023 20:58:56.316, 9.000, 1016.381287, 20.110001, 23.395145, 0.000000
-180.00000, -180.00000, 02/01/2023 20:58:57.316, 10.000, 1016.382446, 20.100000, 23.395407, 3.648000
-180.00000, -180.00000, 02/01/2023 20:58:58.316, 11.000, 1016.382141, 20.090000, 23.395536, 0.000000
-180.00000, -180.00000, 02/01/2023 20:58:59.316, 12.000, 1016.383301, 20.080000, 23.395796, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:00.316, 13.000, 1016.372498, 20.070000, 23.396185, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:01.316, 14.000, 1016.374634, 20.059999, 23.396381, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:02.316, 15.000, 1016.394287, 20.049999, 23.396635, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:03.316, 16.000, 1016.392151, 20.040001, 23.396894, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:04.316, 17.000, 1016.375366, 20.020000, 23.397350, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:05.316, 18.000, 1016.384827, 20.010000, 23.397610, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:06.316, 19.000, 1016.367432, 20.000000, 23.397999, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:07.316, 20.000, 1016.340332, 19.990000, 23.398258, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:08.316, 21.000, 1016.379944, 19.980000, 23.398388, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:09.316, 22.000, 1016.365417, 19.969999, 23.398582, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:10.316, 23.000, 1016.344299, 19.959999, 23.398901, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:11.316, 24.000, 1016.344482, 19.950001, 23.399225, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:12.316, 25.000, 1016.355835, 19.940001, 23.399355, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:13.316, 26.000, 1016.347656, 19.930000, 23.399679, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:14.316, 27.000, 1016.333435, 19.930000, 23.399744, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:15.316, 28.000, 1016.371460, 19.910000, 23.400198, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:16.316, 29.000, 1016.335144, 19.900000, 23.400522, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:17.316, 30.000, 1016.367798, 19.889999, 23.400782, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:18.316, 31.000, 1016.368896, 19.879999, 23.401041, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:19.316, 32.000, 1016.359680, 19.870001, 23.401230, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:20.316, 33.000, 1016.386658, 19.860001, 23.401424, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:21.316, 34.000, 1016.350342, 19.850000, 23.401749, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:22.316, 35.000, 1016.354736, 19.840000, 23.402006, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:23.316, 36.000, 1016.377441, 19.830000, 23.402266, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:24.316, 37.000, 1016.362671, 19.820000, 23.402590, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:25.316, 38.000, 1016.369019, 19.809999, 23.402719, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:26.316, 39.000, 1016.381775, 19.799999, 23.402977, 1.824000
-180.00000, -180.00000, 02/01/2023 20:59:27.316, 40.000, 1016.364014, 19.790001, 23.403296, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:28.316, 41.000, 1016.383362, 19.780001, 23.403555, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:29.316, 42.000, 1016.381409, 19.770000, 23.403685, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:30.316, 43.000, 1016.367554, 19.760000, 23.403944, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:31.316, 44.000, 1016.359436, 19.750000, 23.404266, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:32.316, 45.000, 1016.360840, 19.750000, 23.404396, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:33.316, 46.000, 1016.362610, 19.730000, 23.404718, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:34.316, 47.000, 1016.351440, 19.719999, 23.404913, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:35.316, 48.000, 1016.377747, 19.719999, 23.405043, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:36.316, 49.000, 1016.358215, 19.709999, 23.405237, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:37.316, 50.000, 1016.369385, 19.700001, 23.405619, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:38.316, 51.000, 1016.373779, 19.690001, 23.405878, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:39.316, 52.000, 1016.381836, 19.680000, 23.406006, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:40.316, 53.000, 1016.374878, 19.680000, 23.406136, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:41.316, 54.000, 1016.390686, 19.660000, 23.406523, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:42.316, 55.000, 1016.390808, 19.650000, 23.406847, 0.000000
-180.00000, -180.00000, 02/01/2023 20:59:43.316, 56.000, 1016.394287, 19.639999, 23.407169, 0.000000
