Instrument IRN,T000001C86D7C
Selected calibration,Factory
Factory calibration date,Tuesday, May 13, 2025
User calibration date,Wednesday, July 23, 2025
Select calibration date,Friday, July 18, 2025
Instrument ID,
Gas,Isobutylene
Units,ppb
Session Number,2
Download date,Saturday, September 13, 2025 4:07:55 PM
Zone,001
Record Mode,Single reading
Upper Alarm,100000,ppb
Lower Alarm,50000,ppb
Log Start,1/1/1980 12:00:00 AM
Log End,1/1/1980 12:02:27 AM
Interval,1
Tiger Select
Max Reading,245,ppb,1/1/1980 12:02:27 AM
Date,Time,Isobutylene (ppb)
1/1/1980,12:00:00 AM,176
1/1/1980,12:00:01 AM,179
1/1/1980,12:00:02 AM,175
1/1/1980,12:00:03 AM,178
1/1/1980,12:00:04 AM,180
1/1/1980,12:00:05 AM,178
1/1/1980,12:00:06 AM,178
1/1/1980,12:00:07 AM,179
1/1/1980,12:00:08 AM,179
1/1/1980,12:00:09 AM,179
1/1/1980,12:00:10 AM,180
1/1/1980,12:00:11 AM,179
1/1/1980,12:00:12 AM,176
1/1/1980,12:00:13 AM,175
1/1/1980,12:00:14 AM,176
1/1/1980,12:00:15 AM,178
1/1/1980,12:00:16 AM,179
1/1/1980,12:00:17 AM,177
1/1/1980,12:00:18 AM,178
1/1/1980,12:00:19 AM,181
1/1/1980,12:00:20 AM,177
1/1/1980,12:00:21 AM,178
1/1/1980,12:00:22 AM,177
1/1/1980,12:00:23 AM,177
1/1/1980,12:00:24 AM,179
1/1/1980,12:00:25 AM,177
1/1/1980,12:00:26 AM,177
1/1/1980,12:00:27 AM,176
1/1/1980,12:00:28 AM,177
1/1/1980,12:00:29 AM,178
1/1/1980,12:00:30 AM,177
1/1/1980,12:00:31 AM,176
1/1/1980,12:00:32 AM,177
1/1/1980,12:00:33 AM,179
1/1/1980,12:00:34 AM,176
1/1/1980,12:00:35 AM,176
1/1/1980,12:00:36 AM,179
1/1/1980,12:00:37 AM,179
1/1/1980,12:00:38 AM,179
1/1/1980,12:00:39 AM,182
1/1/1980,12:00:40 AM,179
1/1/1980,12:00:41 AM,179
1/1/1980,12:00:42 AM,180
1/1/1980,12:00:43 AM,188
1/1/1980,12:00:44 AM,218
1/1/1980,12:00:45 AM,239
1/1/1980,12:00:46 AM,236
1/1/1980,12:00:47 AM,240
1/1/1980,12:00:48 AM,243
1/1/1980,12:00:49 AM,243
1/1/1980,12:00:50 AM,245
1/1/1980,12:00:51 AM,242
1/1/1980,12:00:52 AM,242
1/1/1980,12:00:53 AM,236
1/1/1980,12:00:54 AM,233
1/1/1980,12:00:55 AM,234
1/1/1980,12:00:56 AM,232
1/1/1980,12:00:57 AM,231
1/1/1980,12:00:58 AM,230
1/1/1980,12:00:59 AM,227
1/1/1980,12:01:00 AM,225
1/1/1980,12:01:01 AM,220
1/1/1980,12:01:02 AM,217
1/1/1980,12:01:03 AM,213
1/1/1980,12:01:04 AM,214
1/1/1980,12:01:05 AM,211
1/1/1980,12:01:06 AM,207
1/1/1980,12:01:07 AM,207
1/1/1980,12:01:08 AM,206
1/1/1980,12:01:09 AM,203
1/1/1980,12:01:10 AM,199
1/1/1980,12:01:11 AM,200
1/1/1980,12:01:12 AM,197
1/1/1980,12:01:13 AM,198
1/1/1980,12:01:14 AM,197
1/1/1980,12:01:15 AM,193
1/1/1980,12:01:16 AM,196
1/1/1980,12:01:17 AM,190
1/1/1980,12:01:18 AM,189
1/1/1980,12:01:19 AM,190
1/1/1980,12:01:20 AM,190
1/1/1980,12:01:21 AM,189
1/1/1980,12:01:22 AM,191
1/1/1980,12:01:23 AM,189
1/1/1980,12:01:24 AM,188
1/1/1980,12:01:25 AM,188
1/1/1980,12:01:26 AM,188
1/1/1980,12:01:27 AM,188
1/1/1980,12:01:28 AM,187
1/1/1980,12:01:29 AM,188
1/1/1980,12:01:30 AM,188
1/1/1980,12:01:31 AM,187
1/1/1980,12:01:32 AM,186
